HBL Bank - Account Statement
Account Number: PK36HABB0000123456789012
Statement Period: 01-Jan-2021 to 31-Dec-2025

Txn Date,Value Date,Description,Debit,Credit,Balance
07/01/2021,07/01/2021,K-ELECTRIC BILL PAYMENT 1LINK,"9,309.00",,
07/01/2021,07/01/2021,PIZZA HUT DHA LHR 585660,"2,845.00",,
07/01/2021,07/01/2021,CAREEM RIDE PK 50300,"433.00",,
09-Jan-2021,09-Jan-2021,POS PURCHASE 9936 HYPERSTAR LHR,"8,259.00",,
09/01/2021,09/01/2021,CHEEZIOUS PK 445041,"1,026.00",,
09/01/2021,09/01/2021,TOTAL PARCO LHR 1196,"6,613.00",,
09/01/2021,09/01/2021,CAREEM RIDE PK 96093,"623.00",,
10-Jan-2021,10-Jan-2021,SPOTIFY P1234567,"349.00",,
10/01/2021,10/01/2021,KFC GULBERG LHR 635943,"2,319.00",,
11/01/2021,11/01/2021,POS PURCHASE 7596 IMTIAZ SUPER MARKET LHR,"3,706.00",,
11/01/2021,11/01/2021,KFC GULBERG LHR 462159,"517.00",,
11-Jan-2021,11-Jan-2021,TOTAL PARCO LHR 1064,"8,366.00",,
11/01/2021,11/01/2021,CAREEM RIDE PK 16922,"600.00",,
12/01/2021,12/01/2021,JAZZ PREPAID LOAD *345,"1,000.00",,
12/01/2021,12/01/2021,POS PURCHASE 9754 IMTIAZ SUPER MARKET LHR,"5,285.00",,
12-Jan-2021,12-Jan-2021,POS PURCHASE 3115 METRO CASH CARRY LHR,"7,358.00",,
12/01/2021,12/01/2021,PIZZA HUT DHA LHR 303427,"910.00",,
13/01/2021,13/01/2021,POS PURCHASE 9696 IMTIAZ SUPER MARKET LHR,"6,611.00",,
13/01/2021,13/01/2021,POS PURCHASE 4483 METRO CASH CARRY LHR,"5,280.00",,
13-Jan-2021,13-Jan-2021,CHEEZIOUS PK 453112,"2,135.00",,
13/01/2021,13/01/2021,CHEEZIOUS PK 953214,"2,019.00",,
13/01/2021,13/01/2021,PIZZA HUT DHA LHR 559407,"828.00",,
13/01/2021,13/01/2021,CAREEM RIDE PK 31831,"612.00",,
13-Jan-2021,13-Jan-2021,CAREEM RIDE PK 99407,"349.00",,
14/01/2021,14/01/2021,KFC GULBERG LHR 396003,"2,052.00",,
14/01/2021,14/01/2021,KFC GULBERG LHR 477318,"1,524.00",,
14/01/2021,14/01/2021,SHELL FUEL DHA LHR 3719,"5,115.00",,
15-Jan-2021,15-Jan-2021,SSGC GAS BILL 1LINK,"3,559.00",,
15/01/2021,15/01/2021,PIZZA HUT DHA LHR 310013,"584.00",,
16/01/2021,16/01/2021,POS PURCHASE 4268 HYPERSTAR LHR,"7,416.00",,
16/01/2021,16/01/2021,POS PURCHASE 1914 METRO CASH CARRY LHR,"7,550.00",,
16-Jan-2021,16-Jan-2021,POS PURCHASE 4832 AL-FATAH STORE LHR,"2,460.00",,
16/01/2021,16/01/2021,CAREEM RIDE PK 32523,"529.00",,
16/01/2021,16/01/2021,CAREEM RIDE PK 94266,"783.00",,
17/01/2021,17/01/2021,POS PURCHASE 4245 HYPERSTAR LHR,"1,920.00",,
17-Jan-2021,17-Jan-2021,KFC GULBERG LHR 101355,"2,638.00",,
18/01/2021,18/01/2021,PTCL BILL 1LINK 0042,"3,100.00",,
18/01/2021,18/01/2021,POS PURCHASE 1124 HYPERSTAR LHR,"3,169.00",,
18/01/2021,18/01/2021,FOODPANDA PK LAHORE 290028,"653.00",,
18-Jan-2021,18-Jan-2021,SHELL FUEL DHA LHR 3597,"7,596.00",,
19/01/2021,19/01/2021,CHEEZIOUS PK 797315,"1,194.00",,
19/01/2021,19/01/2021,PSO FILLING STATION LHR 7508,"4,296.00",,
19/01/2021,19/01/2021,DARAZ.PK ORDER 565409,"7,504.00",,
20-Jan-2021,20-Jan-2021,POS PURCHASE 3929 METRO CASH CARRY LHR,"3,535.00",,
20/01/2021,20/01/2021,POS PURCHASE 4550 AL-FATAH STORE LHR,"8,236.00",,
20/01/2021,20/01/2021,POS PURCHASE 1092 HYPERSTAR LHR,"4,200.00",,
20/01/2021,20/01/2021,CAREEM RIDE PK 90096,"414.00",,
21-Jan-2021,21-Jan-2021,POS PURCHASE 2409 METRO CASH CARRY LHR,"4,037.00",,
22/01/2021,22/01/2021,POS PURCHASE 3932 AL-FATAH STORE LHR,"2,179.00",,
22/01/2021,22/01/2021,POS PURCHASE 3883 IMTIAZ SUPER MARKET LHR,"2,399.00",,
22/01/2021,22/01/2021,CHEEZIOUS PK 303918,"2,055.00",,
22-Jan-2021,22-Jan-2021,PIZZA HUT DHA LHR 828065,"1,709.00",,
22/01/2021,22/01/2021,CHEEZIOUS PK 103794,"960.00",,
23/01/2021,23/01/2021,CAREEM RIDE PK 64751,"485.00",,
23/01/2021,23/01/2021,CAREEM RIDE PK 56357,"918.00",,
24-Jan-2021,24-Jan-2021,KFC GULBERG LHR 528076,"1,915.00",,
24/01/2021,24/01/2021,CAREEM RIDE PK 98850,"366.00",,
24/01/2021,24/01/2021,CAREEM RIDE PK 26475,"390.00",,
24/01/2021,24/01/2021,CAREEM RIDE PK 24566,"400.00",,
24-Jan-2021,24-Jan-2021,CAREEM RIDE PK 11643,"486.00",,
25/01/2021,25/01/2021,POS PURCHASE 3070 AL-FATAH STORE LHR,"7,193.00",,
25/01/2021,25/01/2021,CHEEZIOUS PK 341392,"1,775.00",,
25/01/2021,25/01/2021,CAREEM RIDE PK 83269,"427.00",,
25-Jan-2021,25-Jan-2021,ATM WITHDRAWAL 8273 GULBERG LHR,"16,113.00",,
26/01/2021,26/01/2021,CHEEZIOUS PK 659146,"1,021.00",,
26/01/2021,26/01/2021,PIZZA HUT DHA LHR 789089,"2,206.00",,
26/01/2021,26/01/2021,CAREEM RIDE PK 34704,"369.00",,
26-Jan-2021,26-Jan-2021,CAREEM RIDE PK 91928,"696.00",,
26/01/2021,26/01/2021,DARAZ.PK ORDER 731720,"8,661.00",,
27/01/2021,27/01/2021,POS PURCHASE 7865 IMTIAZ SUPER MARKET LHR,"4,985.00",,
27/01/2021,27/01/2021,DARAZ.PK ORDER 269274,"8,671.00",,
28-Jan-2021,28-Jan-2021,POS PURCHASE 3464 HYPERSTAR LHR,"2,518.00",,
28/01/2021,28/01/2021,KFC GULBERG LHR 785101,"1,772.00",,
28/01/2021,28/01/2021,CHEEZIOUS PK 517801,"1,205.00",,
28/01/2021,28/01/2021,CHEEZIOUS PK 292586,"2,462.00",,
28-Jan-2021,28-Jan-2021,CAREEM RIDE PK 40350,"879.00",,
29/01/2021,29/01/2021,POS PURCHASE 1907 METRO CASH CARRY LHR,"5,128.00",,
29/01/2021,29/01/2021,CHEEZIOUS PK 541564,"1,549.00",,
29/01/2021,29/01/2021,KFC GULBERG LHR 568240,"2,093.00",,
29-Jan-2021,29-Jan-2021,DARAZ.PK ORDER 184073,"8,679.00",,
29/01/2021,29/01/2021,DARAZ.PK ORDER 979311,"2,863.00",,
30/01/2021,30/01/2021,POS PURCHASE 4400 AL-FATAH STORE LHR,"7,812.00",,
30/01/2021,30/01/2021,PIZZA HUT DHA LHR 856715,"2,132.00",,
30-Jan-2021,30-Jan-2021,PIZZA HUT DHA LHR 551854,"1,691.00",,
30/01/2021,30/01/2021,KFC GULBERG LHR 376726,"2,207.00",,
31/01/2021,31/01/2021,POS PURCHASE 9662 IMTIAZ SUPER MARKET LHR,"5,342.00",,
31/01/2021,31/01/2021,KFC GULBERG LHR 797315,"1,203.00",,
31-Jan-2021,31-Jan-2021,CAREEM RIDE PK 80117,"333.00",,
01/02/2021,01/02/2021,SALARY CREDIT ACME TECH PVT LTD,,"200,000.00",
01/02/2021,01/02/2021,POS PURCHASE 5925 METRO CASH CARRY LHR,"2,587.00",,
01/02/2021,01/02/2021,POS PURCHASE 5679 AL-FATAH STORE LHR,"3,876.00",,
01-Feb-2021,01-Feb-2021,POS PURCHASE 1583 HYPERSTAR LHR,"5,155.00",,
01/02/2021,01/02/2021,CAREEM RIDE PK 38575,"554.00",,
01/02/2021,01/02/2021,CAREEM RIDE PK 12151,"870.00",,
02/02/2021,02/02/2021,MONTHLY RENT PAYMENT IBFT,"55,000.00",,
02-Feb-2021,02-Feb-2021,POS PURCHASE 6164 METRO CASH CARRY LHR,"1,909.00",,
02/02/2021,02/02/2021,FOODPANDA PK LAHORE 765050,"1,031.00",,
02/02/2021,02/02/2021,FOODPANDA PK LAHORE 362996,"2,439.00",,
02/02/2021,02/02/2021,CAREEM RIDE PK 68065,"914.00",,
02-Feb-2021,02-Feb-2021,DARAZ.PK ORDER 800402,"8,938.00",,
03/02/2021,03/02/2021,POS PURCHASE 1660 AL-FATAH STORE LHR,"2,843.00",,
03/02/2021,03/02/2021,POS PURCHASE 3713 METRO CASH CARRY LHR,"4,296.00",,
03/02/2021,03/02/2021,POS PURCHASE 7055 METRO CASH CARRY LHR,"3,405.00",,
03-Feb-2021,03-Feb-2021,CHEEZIOUS PK 118936,"1,969.00",,
03/02/2021,03/02/2021,CHEEZIOUS PK 227873,"572.00",,
03/02/2021,03/02/2021,PSO FILLING STATION LHR 8127,"5,184.00",,
03/02/2021,03/02/2021,SHELL FUEL DHA LHR 8502,"4,873.00",,
03-Feb-2021,03-Feb-2021,PSO FILLING STATION LHR 4196,"4,721.00",,
03/02/2021,03/02/2021,CAREEM RIDE PK 79983,"577.00",,
04/02/2021,04/02/2021,POS PURCHASE 9068 HYPERSTAR LHR,"8,066.00",,
04/02/2021,04/02/2021,POS PURCHASE 1484 IMTIAZ SUPER MARKET LHR,"5,077.00",,
04-Feb-2021,04-Feb-2021,KFC GULBERG LHR 461306,"2,094.00",,
04/02/2021,04/02/2021,PIZZA HUT DHA LHR 982799,"1,256.00",,
04/02/2021,04/02/2021,FOODPANDA PK LAHORE 382045,"2,656.00",,
05/02/2021,05/02/2021,NETFLIX.COM 8829,"1,499.00",,
05-Feb-2021,05-Feb-2021,PIZZA HUT DHA LHR 656643,"1,566.00",,
05/02/2021,05/02/2021,FOODPANDA PK LAHORE 122582,"618.00",,
05/02/2021,05/02/2021,CAREEM RIDE PK 43792,"567.00",,
05/02/2021,05/02/2021,CAREEM RIDE PK 67162,"296.00",,
06-Feb-2021,06-Feb-2021,POS PURCHASE 5922 IMTIAZ SUPER MARKET LHR,"8,710.00",,
06/02/2021,06/02/2021,KFC GULBERG LHR 332908,"1,907.00",,
06/02/2021,06/02/2021,CAREEM RIDE PK 82741,"942.00",,
06/02/2021,06/02/2021,CAREEM RIDE PK 89132,"605.00",,
06-Feb-2021,06-Feb-2021,DARAZ.PK ORDER 759271,"2,257.00",,
07/02/2021,07/02/2021,K-ELECTRIC BILL PAYMENT 1LINK,"10,827.00",,
07/02/2021,07/02/2021,POS PURCHASE 3843 METRO CASH CARRY LHR,"5,394.00",,
07/02/2021,07/02/2021,CHEEZIOUS PK 158463,"611.00",,
07-Feb-2021,07-Feb-2021,TOTAL PARCO LHR 6023,"7,669.00",,
08/02/2021,08/02/2021,POS PURCHASE 5256 METRO CASH CARRY LHR,"8,410.00",,
08/02/2021,08/02/2021,POS PURCHASE 9593 METRO CASH CARRY LHR,"7,128.00",,
08/02/2021,08/02/2021,FOODPANDA PK LAHORE 134844,"1,399.00",,
08-Feb-2021,08-Feb-2021,KFC GULBERG LHR 563748,"2,321.00",,
08/02/2021,08/02/2021,TOTAL PARCO LHR 6817,"8,227.00",,
09/02/2021,09/02/2021,POS PURCHASE 4713 METRO CASH CARRY LHR,"7,182.00",,
09/02/2021,09/02/2021,POS PURCHASE 4002 HYPERSTAR LHR,"2,719.00",,
09-Feb-2021,09-Feb-2021,FOODPANDA PK LAHORE 705294,"2,672.00",,
09/02/2021,09/02/2021,PIZZA HUT DHA LHR 751080,"919.00",,
09/02/2021,09/02/2021,PIZZA HUT DHA LHR 751530,"3,059.00",,
09/02/2021,09/02/2021,CHEEZIOUS PK 878776,"2,507.00",,
09-Feb-2021,09-Feb-2021,TOTAL PARCO LHR 5144,"5,510.00",,
09/02/2021,09/02/2021,CAREEM RIDE PK 72851,"805.00",,
10/02/2021,10/02/2021,SPOTIFY P1234567,"349.00",,
10/02/2021,10/02/2021,KFC GULBERG LHR 860942,"1,993.00",,
10-Feb-2021,10-Feb-2021,CHEEZIOUS PK 901706,"2,308.00",,
10/02/2021,10/02/2021,PIZZA HUT DHA LHR 990108,"1,148.00",,
10/02/2021,10/02/2021,CAREEM RIDE PK 35122,"367.00",,
11/02/2021,11/02/2021,POS PURCHASE 1566 HYPERSTAR LHR,"8,167.00",,
11-Feb-2021,11-Feb-2021,POS PURCHASE 6475 HYPERSTAR LHR,"3,049.00",,
11/02/2021,11/02/2021,CHEEZIOUS PK 356856,"2,704.00",,
11/02/2021,11/02/2021,FOODPANDA PK LAHORE 830359,"581.00",,
11/02/2021,11/02/2021,TOTAL PARCO LHR 3109,"8,116.00",,
11-Feb-2021,11-Feb-2021,DARAZ.PK ORDER 544214,"3,127.00",,
12/02/2021,12/02/2021,JAZZ PREPAID LOAD *345,"1,000.00",,
12/02/2021,12/02/2021,KFC GULBERG LHR 247992,"2,991.00",,
12/02/2021,12/02/2021,CAREEM RIDE PK 27133,"294.00",,
13-Feb-2021,13-Feb-2021,POS PURCHASE 7866 METRO CASH CARRY LHR,"2,926.00",,
13/02/2021,13/02/2021,KFC GULBERG LHR 404881,"2,948.00",,
13/02/2021,13/02/2021,CAREEM RIDE PK 53880,"766.00",,
13/02/2021,13/02/2021,ATM WITHDRAWAL 7105 GULBERG LHR,"19,701.00",,
14-Feb-2021,14-Feb-2021,POS PURCHASE 3164 HYPERSTAR LHR,"6,515.00",,
14/02/2021,14/02/2021,PIZZA HUT DHA LHR 634410,"1,463.00",,
15/02/2021,15/02/2021,SSGC GAS BILL 1LINK,"2,186.00",,
15/02/2021,15/02/2021,SHELL FUEL DHA LHR 3441,"5,559.00",,
16-Feb-2021,16-Feb-2021,CHEEZIOUS PK 685471,"2,039.00",,
16/02/2021,16/02/2021,DARAZ.PK ORDER 510000,"5,012.00",,
17/02/2021,17/02/2021,POS PURCHASE 7656 IMTIAZ SUPER MARKET LHR,"3,238.00",,
17/02/2021,17/02/2021,POS PURCHASE 9265 IMTIAZ SUPER MARKET LHR,"3,422.00",,
17-Feb-2021,17-Feb-2021,FOODPANDA PK LAHORE 731162,"1,572.00",,
18/02/2021,18/02/2021,PTCL BILL 1LINK 0042,"3,100.00",,
18/02/2021,18/02/2021,POS PURCHASE 2187 METRO CASH CARRY LHR,"3,552.00",,
18/02/2021,18/02/2021,CAREEM RIDE PK 33153,"780.00",,
18-Feb-2021,18-Feb-2021,CAREEM RIDE PK 53110,"352.00",,
19/02/2021,19/02/2021,POS PURCHASE 2539 HYPERSTAR LHR,"1,535.00",,
19/02/2021,19/02/2021,POS PURCHASE 1470 METRO CASH CARRY LHR,"2,579.00",,
19/02/2021,19/02/2021,PSO FILLING STATION LHR 6533,"7,273.00",,
19-Feb-2021,19-Feb-2021,PSO FILLING STATION LHR 1172,"7,457.00",,
19/02/2021,19/02/2021,CAREEM RIDE PK 55094,"406.00",,
20/02/2021,20/02/2021,POS PURCHASE 6199 AL-FATAH STORE LHR,"6,939.00",,
20/02/2021,20/02/2021,PIZZA HUT DHA LHR 897482,"788.00",,
20-Feb-2021,20-Feb-2021,FOODPANDA PK LAHORE 400453,"2,131.00",,
20/02/2021,20/02/2021,CAREEM RIDE PK 24622,"581.00",,
20/02/2021,20/02/2021,CAREEM RIDE PK 55802,"473.00",,
20/02/2021,20/02/2021,CAREEM RIDE PK 65660,"737.00",,
21-Feb-2021,21-Feb-2021,FOODPANDA PK LAHORE 555140,"966.00",,
21/02/2021,21/02/2021,CAREEM RIDE PK 34898,"341.00",,
21/02/2021,21/02/2021,DARAZ.PK ORDER 265228,"1,829.00",,
22/02/2021,22/02/2021,POS PURCHASE 1303 AL-FATAH STORE LHR,"7,553.00",,
22-Feb-2021,22-Feb-2021,POS PURCHASE 5202 METRO CASH CARRY LHR,"6,836.00",,
22/02/2021,22/02/2021,POS PURCHASE 5798 METRO CASH CARRY LHR,"3,697.00",,
22/02/2021,22/02/2021,CHEEZIOUS PK 184897,"2,014.00",,
22/02/2021,22/02/2021,FOODPANDA PK LAHORE 120543,"997.00",,
22-Feb-2021,22-Feb-2021,FOODPANDA PK LAHORE 113337,"2,260.00",,
22/02/2021,22/02/2021,CAREEM RIDE PK 40349,"463.00",,
22/02/2021,22/02/2021,CAREEM RIDE PK 83146,"549.00",,
23/02/2021,23/02/2021,POS PURCHASE 7897 HYPERSTAR LHR,"5,795.00",,
23-Feb-2021,23-Feb-2021,CAREEM RIDE PK 52609,"816.00",,
24/02/2021,24/02/2021,POS PURCHASE 8940 METRO CASH CARRY LHR,"7,361.00",,
24/02/2021,24/02/2021,POS PURCHASE 5070 METRO CASH CARRY LHR,"8,388.00",,
25/02/2021,25/02/2021,PIZZA HUT DHA LHR 442968,"1,912.00",,
25-Feb-2021,25-Feb-2021,KFC GULBERG LHR 171430,"2,920.00",,
25/02/2021,25/02/2021,CHEEZIOUS PK 504910,"3,087.00",,
25/02/2021,25/02/2021,PIZZA HUT DHA LHR 862954,"1,006.00",,
26/02/2021,26/02/2021,FOODPANDA PK LAHORE 386545,"2,675.00",,
26-Feb-2021,26-Feb-2021,PIZZA HUT DHA LHR 328660,"1,334.00",,
26/02/2021,26/02/2021,CAREEM RIDE PK 92321,"785.00",,
27/02/2021,27/02/2021,PIZZA HUT DHA LHR 292054,"1,052.00",,
27/02/2021,27/02/2021,PIZZA HUT DHA LHR 285847,"2,201.00",,
27-Feb-2021,27-Feb-2021,CAREEM RIDE PK 57569,"427.00",,
28/02/2021,28/02/2021,POS PURCHASE 2645 HYPERSTAR LHR,"6,508.00",,
28/02/2021,28/02/2021,CHEEZIOUS PK 301717,"2,234.00",,
28/02/2021,28/02/2021,CAREEM RIDE PK 79979,"564.00",,
28-Feb-2021,28-Feb-2021,DARAZ.PK ORDER 670540,"5,962.00",,
01/03/2021,01/03/2021,SALARY CREDIT ACME TECH PVT LTD,,"200,000.00",
01/03/2021,01/03/2021,POS PURCHASE 4540 IMTIAZ SUPER MARKET LHR,"5,194.00",,
01/03/2021,01/03/2021,KFC GULBERG LHR 673512,"2,399.00",,
01-Mar-2021,01-Mar-2021,CHEEZIOUS PK 557147,"1,787.00",,
02/03/2021,02/03/2021,MONTHLY RENT PAYMENT IBFT,"55,000.00",,
02/03/2021,02/03/2021,POS PURCHASE 4607 METRO CASH CARRY LHR,"6,745.00",,
02/03/2021,02/03/2021,POS PURCHASE 1533 METRO CASH CARRY LHR,"6,165.00",,
03-Mar-2021,03-Mar-2021,POS PURCHASE 5288 IMTIAZ SUPER MARKET LHR,"1,536.00",,
03/03/2021,03/03/2021,POS PURCHASE 9188 AL-FATAH STORE LHR,"3,479.00",,
03/03/2021,03/03/2021,KFC GULBERG LHR 759226,"1,513.00",,
03/03/2021,03/03/2021,KFC GULBERG LHR 162427,"731.00",,
03-Mar-2021,03-Mar-2021,CHEEZIOUS PK 498204,"1,381.00",,
05/03/2021,05/03/2021,NETFLIX.COM 8829,"1,499.00",,
05/03/2021,05/03/2021,POS PURCHASE 5656 AL-FATAH STORE LHR,"7,214.00",,
06/03/2021,06/03/2021,PIZZA HUT DHA LHR 601858,"825.00",,
06-Mar-2021,06-Mar-2021,PIZZA HUT DHA LHR 492732,"1,179.00",,
06/03/2021,06/03/2021,PIZZA HUT DHA LHR 694322,"1,077.00",,
06/03/2021,06/03/2021,CAREEM RIDE PK 70460,"520.00",,
06/03/2021,06/03/2021,CAREEM RIDE PK 98669,"732.00",,
07-Mar-2021,07-Mar-2021,K-ELECTRIC BILL PAYMENT 1LINK,"9,091.00",,
07/03/2021,07/03/2021,POS PURCHASE 9596 HYPERSTAR LHR,"5,568.00",,
07/03/2021,07/03/2021,FOODPANDA PK LAHORE 931911,"2,125.00",,
07/03/2021,07/03/2021,FOODPANDA PK LAHORE 462226,"2,506.00",,
07-Mar-2021,07-Mar-2021,CAREEM RIDE PK 77772,"256.00",,
07/03/2021,07/03/2021,DARAZ.PK ORDER 216869,"4,318.00",,
08/03/2021,08/03/2021,POS PURCHASE 3035 AL-FATAH STORE LHR,"3,762.00",,
08/03/2021,08/03/2021,POS PURCHASE 7738 METRO CASH CARRY LHR,"3,671.00",,
09-Mar-2021,09-Mar-2021,CAREEM RIDE PK 51930,"521.00",,
10/03/2021,10/03/2021,SPOTIFY P1234567,"349.00",,
10/03/2021,10/03/2021,POS PURCHASE 8114 HYPERSTAR LHR,"2,257.00",,
10/03/2021,10/03/2021,CAREEM RIDE PK 12279,"911.00",,
10-Mar-2021,10-Mar-2021,CAREEM RIDE PK 80584,"330.00",,
11/03/2021,11/03/2021,CHEEZIOUS PK 475886,"2,142.00",,
11/03/2021,11/03/2021,CHEEZIOUS PK 657811,"1,795.00",,
11/03/2021,11/03/2021,KFC GULBERG LHR 838238,"763.00",,
11-Mar-2021,11-Mar-2021,CAREEM RIDE PK 95711,"558.00",,
11/03/2021,11/03/2021,CAREEM RIDE PK 24167,"278.00",,
12/03/2021,12/03/2021,JAZZ PREPAID LOAD *345,"1,000.00",,
12/03/2021,12/03/2021,POS PURCHASE 7396 AL-FATAH STORE LHR,"6,361.00",,
12-Mar-2021,12-Mar-2021,KFC GULBERG LHR 606967,"2,318.00",,
12/03/2021,12/03/2021,TOTAL PARCO LHR 1985,"4,355.00",,
12/03/2021,12/03/2021,CAREEM RIDE PK 54256,"499.00",,
12/03/2021,12/03/2021,CAREEM RIDE PK 57047,"624.00",,
13-Mar-2021,13-Mar-2021,POS PURCHASE 7085 HYPERSTAR LHR,"7,761.00",,
13/03/2021,13/03/2021,CHEEZIOUS PK 855361,"1,566.00",,
13/03/2021,13/03/2021,CAREEM RIDE PK 31930,"867.00",,
13/03/2021,13/03/2021,DARAZ.PK ORDER 436444,"3,309.00",,
14-Mar-2021,14-Mar-2021,POS PURCHASE 3112 METRO CASH CARRY LHR,"6,963.00",,
14/03/2021,14/03/2021,POS PURCHASE 4022 METRO CASH CARRY LHR,"8,553.00",,
14/03/2021,14/03/2021,PIZZA HUT DHA LHR 390466,"1,190.00",,
15/03/2021,15/03/2021,SSGC GAS BILL 1LINK,"3,060.00",,
15-Mar-2021,15-Mar-2021,POS PURCHASE 2145 AL-FATAH STORE LHR,"6,099.00",,
15/03/2021,15/03/2021,PIZZA HUT DHA LHR 871587,"2,471.00",,
15/03/2021,15/03/2021,KFC GULBERG LHR 576722,"2,624.00",,
15/03/2021,15/03/2021,CAREEM RIDE PK 23720,"421.00",,
16-Mar-2021,16-Mar-2021,POS PURCHASE 4743 HYPERSTAR LHR,"6,834.00",,
16/03/2021,16/03/2021,PIZZA HUT DHA LHR 661776,"2,329.00",,
16/03/2021,16/03/2021,FOODPANDA PK LAHORE 808592,"2,361.00",,
16/03/2021,16/03/2021,CAREEM RIDE PK 56196,"625.00",,
16-Mar-2021,16-Mar-2021,CAREEM RIDE PK 13759,"511.00",,
17/03/2021,17/03/2021,FOODPANDA PK LAHORE 291359,"3,172.00",,
18/03/2021,18/03/2021,PTCL BILL 1LINK 0042,"3,100.00",,
18/03/2021,18/03/2021,KFC GULBERG LHR 907762,"624.00",,
18-Mar-2021,18-Mar-2021,KFC GULBERG LHR 934210,"2,413.00",,
18/03/2021,18/03/2021,CHEEZIOUS PK 725427,"3,138.00",,
18/03/2021,18/03/2021,CAREEM RIDE PK 89279,"342.00",,
19/03/2021,19/03/2021,PIZZA HUT DHA LHR 662320,"1,322.00",,
19-Mar-2021,19-Mar-2021,TOTAL PARCO LHR 4093,"5,096.00",,
19/03/2021,19/03/2021,CAREEM RIDE PK 15389,"468.00",,
19/03/2021,19/03/2021,CAREEM RIDE PK 54445,"940.00",,
20/03/2021,20/03/2021,KFC GULBERG LHR 604589,"2,829.00",,
20-Mar-2021,20-Mar-2021,CHEEZIOUS PK 916844,"901.00",,
21/03/2021,21/03/2021,POS PURCHASE 1051 METRO CASH CARRY LHR,"7,465.00",,
21/03/2021,21/03/2021,PIZZA HUT DHA LHR 867051,"3,087.00",,
21/03/2021,21/03/2021,CAREEM RIDE PK 74785,"264.00",,
22-Mar-2021,22-Mar-2021,POS PURCHASE 1443 AL-FATAH STORE LHR,"2,666.00",,
22/03/2021,22/03/2021,CHEEZIOUS PK 809521,"1,581.00",,
22/03/2021,22/03/2021,DARAZ.PK ORDER 605203,"2,090.00",,
23/03/2021,23/03/2021,PIZZA HUT DHA LHR 343049,"1,208.00",,
23-Mar-2021,23-Mar-2021,FOODPANDA PK LAHORE 627826,"2,134.00",,
23/03/2021,23/03/2021,CHEEZIOUS PK 341254,"1,897.00",,
23/03/2021,23/03/2021,CAREEM RIDE PK 10463,"429.00",,
24/03/2021,24/03/2021,POS PURCHASE 9775 IMTIAZ SUPER MARKET LHR,"2,029.00",,
24-Mar-2021,24-Mar-2021,PIZZA HUT DHA LHR 558969,"1,889.00",,
24/03/2021,24/03/2021,PSO FILLING STATION LHR 3070,"4,997.00",,
25/03/2021,25/03/2021,POS PURCHASE 9314 IMTIAZ SUPER MARKET LHR,"2,539.00",,
25/03/2021,25/03/2021,PSO FILLING STATION LHR 1638,"5,577.00",,
25-Mar-2021,25-Mar-2021,CAREEM RIDE PK 58338,"598.00",,
26/03/2021,26/03/2021,CHEEZIOUS PK 264315,"1,501.00",,
26/03/2021,26/03/2021,CAREEM RIDE PK 62420,"539.00",,
26/03/2021,26/03/2021,CAREEM RIDE PK 94485,"741.00",,
26-Mar-2021,26-Mar-2021,DARAZ.PK ORDER 185526,"7,077.00",,
27/03/2021,27/03/2021,POS PURCHASE 6662 IMTIAZ SUPER MARKET LHR,"8,842.00",,
27/03/2021,27/03/2021,POS PURCHASE 1341 IMTIAZ SUPER MARKET LHR,"3,970.00",,
