HBL Bank - Account Statement
Account Number: PK36HABB0000123456789012
Statement Period: 01-Jan-2025 to 30-Apr-2025
Generated On: 02-May-2025

Txn Date,Value Date,Description,Debit,Credit,Balance
05/02/2025,05/02/2025,NETFLIX.COM 8829,"PKR 1,499.00",,
05/02/2025,05/02/2025,CAREEM RIDE PK 44718,442.00,,
06/02/2025,06/02/2025,PIZZA HUT DHA LHR 864544,"1,602.00",,
06-Feb-2025,06-Feb-2025,KFC GULBERG LHR 497887,"1,705.00",,
07/02/2025,07/02/2025,K-ELECTRIC BILL PAYMENT 1LINK,"6,375.00",,
08/02/2025,08/02/2025,POS PURCHASE 5741 IMTIAZ SUPER MARKET LHR,"3,407.00",,
08/02/2025,08/02/2025,FOODPANDA PK LAHORE 944151,"1,892.00",,
08-Feb-2025,08-Feb-2025,CAREEM RIDE PK 83579,851.00,,
09/02/2025,09/02/2025,CAREEM RIDE PK 86622,738.00,,
10/02/2025,10/02/2025,SPOTIFY P1234567,349.00,,
12/02/2025,12/02/2025,JAZZ PREPAID LOAD *345,"1,000.00",,
12-Feb-2025,12-Feb-2025,POS PURCHASE 4432 AL-FATAH STORE LHR,"3,687.00",,
13/02/2025,13/02/2025,SHELL FUEL DHA LHR 2084,"4,864.00",,
13/02/2025,13/02/2025,CAREEM RIDE PK 94259,769.00,,
15/02/2025,15/02/2025,SSGC GAS BILL 1LINK,"3,354.00",,
15-Feb-2025,15-Feb-2025,POS PURCHASE 6977 IMTIAZ SUPER MARKET LHR,"4,532.00",,
18/02/2025,18/02/2025,PTCL BILL 1LINK 0042,"3,100.00",,
19/02/2025,19/02/2025,SHELL FUEL DHA LHR 4483,"6,684.00",,
19/02/2025,19/02/2025,ATM WITHDRAWAL 7543 GULBERG LHR,"15,930.00",,
21-Feb-2025,21-Feb-2025,PIZZA HUT DHA LHR 684004,"1,499.00",,
22/02/2025,22/02/2025,KFC GULBERG LHR 983794,829.00,,
22/02/2025,22/02/2025,DARAZ.PK ORDER 5567123,"2,401.00",,
23/02/2025,23/02/2025,POS PURCHASE 2169 AL-FATAH STORE LHR,"6,701.00",,
28-Feb-2025,28-Feb-2025,POS PURCHASE 2654 METRO CASH CARRY LHR,"3,777.00",,
01/03/2025,01/03/2025,SALARY CREDIT ACME TECH PVT LTD,,"200,000.00",
01/03/2025,01/03/2025,CAREEM RIDE PK 24662,671.00,,
02/03/2025,02/03/2025,MONTHLY RENT PAYMENT IBFT,"55,000.00",,
02-Mar-2025,02-Mar-2025,POS PURCHASE 2796 IMTIAZ SUPER MARKET LHR,"6,640.00",,
04/03/2025,04/03/2025,KFC GULBERG LHR 555884,"1,247.00",,
05/03/2025,05/03/2025,NETFLIX.COM 8829,"PKR 1,499.00",,
06/03/2025,06/03/2025,POS PURCHASE 7916 AL-FATAH STORE LHR,"2,020.00",,
06-Mar-2025,06-Mar-2025,DARAZ.PK ORDER 5567123,"4,671.00",,
07/03/2025,07/03/2025,K-ELECTRIC BILL PAYMENT 1LINK,"7,796.00",,
07/03/2025,07/03/2025,PSO FILLING STATION LHR 7126,"7,123.00",,
10/03/2025,10/03/2025,SPOTIFY P1234567,349.00,,
12-Mar-2025,12-Mar-2025,JAZZ PREPAID LOAD *345,"1,000.00",,
13/03/2025,13/03/2025,POS PURCHASE 7252 AL-FATAH STORE LHR,"5,334.00",,
15/03/2025,15/03/2025,SSGC GAS BILL 1LINK,"2,283.00",,
15/03/2025,15/03/2025,FOODPANDA PK LAHORE 857168,"1,678.00",,
17-Mar-2025,17-Mar-2025,POS PURCHASE 9085 IMTIAZ SUPER MARKET LHR,"7,691.00",,
17/03/2025,17/03/2025,POS PURCHASE 5119 AL-FATAH STORE LHR,"1,594.00",,
17/03/2025,17/03/2025,FOODPANDA PK LAHORE 632342,"1,035.00",,
18/03/2025,18/03/2025,PTCL BILL 1LINK 0042,"3,100.00",,
18-Mar-2025,18-Mar-2025,CAREEM RIDE PK 79514,300.00,,
20/03/2025,20/03/2025,CAREEM RIDE PK 52487,800.00,,
20/03/2025,20/03/2025,POS شیزان بیکرز LHR,"1,750.00",,
22/03/2025,22/03/2025,PIZZA HUT DHA LHR 220116,"2,799.00",,
25-Mar-2025,25-Mar-2025,KFC GULBERG LHR 905934,"1,993.00",,
27/03/2025,27/03/2025,ATM WITHDRAWAL 6038 GULBERG LHR,"13,923.00",,
28/03/2025,28/03/2025,SHELL FUEL DHA LHR 9317,"6,494.00",,
01/04/2025,01/04/2025,SALARY CREDIT ACME TECH PVT LTD,,"200,000.00",
01-Apr-2025,01-Apr-2025,FOODPANDA PK LAHORE 842225,841.00,,
02/04/2025,02/04/2025,MONTHLY RENT PAYMENT IBFT,"55,000.00",,
03/04/2025,03/04/2025,POS PURCHASE 6539 IMTIAZ SUPER MARKET LHR,"6,319.00",,
03/04/2025,03/04/2025,PIZZA HUT DHA LHR 349565,"1,740.00",,
04-Apr-2025,04-Apr-2025,PIZZA HUT DHA LHR 551989,"2,051.00",,
05/04/2025,05/04/2025,NETFLIX.COM 8829,"PKR 1,499.00",,
05/04/2025,05/04/2025,POS PURCHASE 3103 AL-FATAH STORE LHR,"5,393.00",,
05/04/2025,05/04/2025,PIZZA HUT DHA LHR 698782,"2,960.00",,
07-Apr-2025,07-Apr-2025,K-ELECTRIC BILL PAYMENT 1LINK,"6,474.00",,
08/04/2025,08/04/2025,FOODPANDA PK LAHORE 132938,"1,953.00",,
08/04/2025,08/04/2025,CAREEM RIDE PK 35112,494.00,,
10/04/2025,10/04/2025,SPOTIFY P1234567,349.00,,
12-Apr-2025,12-Apr-2025,JAZZ PREPAID LOAD *345,"1,000.00",,
13/04/2025,13/04/2025,POS PURCHASE 7118 METRO CASH CARRY LHR,"5,739.00",,
14/04/2025,14/04/2025,SHELL FUEL DHA LHR 8651,"7,538.00",,
14/04/2025,14/04/2025,CAREEM RIDE PK 34050,585.00,,
15-Apr-2025,15-Apr-2025,SSGC GAS BILL 1LINK,"2,493.00",,
15/04/2025,15/04/2025,POS PURCHASE 2982 IMTIAZ SUPER MARKET LHR,"3,340.00",,
15/04/2025,15/04/2025,ATM WITHDRAWAL 5092 GULBERG LHR,"11,235.00",,
16/04/2025,16/04/2025,POS PURCHASE 2133 AL-FATAH STORE LHR,"7,773.00",,
16-Apr-2025,16-Apr-2025,FOODPANDA PK LAHORE 922733,"2,537.00",,
18/04/2025,18/04/2025,PTCL BILL 1LINK 0042,"3,100.00",,
18/04/2025,18/04/2025,POS PURCHASE 3705 METRO CASH CARRY LHR,"5,822.00",,
18/04/2025,18/04/2025,FOODPANDA PK LAHORE 717024,"1,502.00",,
18-Apr-2025,18-Apr-2025,CAREEM RIDE PK 68800,443.00,,
19/04/2025,19/04/2025,POS PURCHASE 2290 IMTIAZ SUPER MARKET LHR,"7,495.00",,
21/04/2025,21/04/2025,DARAZ.PK LAPTOP ORDER 5567123,"145,000.00",,
22/04/2025,22/04/2025,KFC GULBERG LHR 324643,"2,808.00",,
24-Apr-2025,24-Apr-2025,PSO FILLING STATION LHR 2612,"4,248.00",,
24/04/2025,24/04/2025,CAREEM RIDE PK 54473,411.00,,
25/04/2025,25/04/2025,POS PURCHASE 4295 AL-FATAH STORE LHR,"4,053.00",,
26/04/2025,26/04/2025,KFC GULBERG LHR 299659,986.00,,
28-Apr-2025,28-Apr-2025,POS PURCHASE 7932 IMTIAZ SUPER MARKET LHR,"5,917.00",,
not-a-date,,GARBAGE ROW SHOULD BE SKIPPED,abc,,
30/04/2025,30/04/2025,Closing Balance,,,"410,000.00"
*** End of Statement ***
